Feature,Mean_Abs_Attribution
ICULOS,2.0067577
Temp,0.4377871
HR_diff_1h,0.40818736
hours_since_last_Lactate,0.39334142
FiO2_measured,0.39069557
hours_since_last_pH,0.31703046
Hct,0.3033906
Unit2,0.27676344
Temp_diff_1h,0.2670205
Temp_roll_std_6h,0.24713685
O2Sat,0.21209463
Resp_roll_std_6h,0.19245794
hours_since_last_Creatinine,0.19125012
Alkalinephos,0.19059353
WBC,0.17733122
BaseExcess,0.16780163
Platelets,0.16180485
hours_since_last_HCO3,0.1615389
SBP,0.15507965
HR_MAP_Ratio,0.15432848
Creatinine,0.15384503
Shock_Index,0.15378915
Potassium,0.15337451
Calcium,0.15018646
Hgb,0.14803208
O2Sat_roll_std_6h,0.13987765
Gender,0.13728312
HR,0.13478638
Temp_roll_mean_6h,0.13046682
DBP,0.13002601
BUN,0.12199613
Resp_roll_mean_6h,0.12033882
Resp_O2Sat_Ratio,0.119827926
Pulse_Pressure,0.11602784
Glucose_measured,0.115998
Bilirubin_total,0.11573399
First_24h_Flag,0.11545059
Lactate,0.108795576
HCO3,0.10786876
MAP_roll_std_6h,0.10197245
Phosphate,0.10196133
PaCO2,0.09936909
Resp,0.09491622
Lactate_measured,0.09260954
pH,0.09173003
HR_Temp_Ratio,0.08998466
O2Sat_roll_mean_6h,0.08833227
pH_measured,0.087542646
HR_roll_std_6h,0.0813163
HospAdmTime,0.08041317
HR_roll_mean_6h,0.07915377
Age,0.07771778
Diurnal_Proxy_Hour,0.07302583
PaCO2_measured,0.072839715
MAP_deviation,0.06975097
Chloride,0.06964965
Glucose,0.068704866
MAP,0.062002372
PTT,0.058153424
SaO2,0.056745477
O2Sat_diff_1h,0.05390043
hours_since_last_WBC,0.052737795
EtCO2,0.05270958
hours_since_last_BUN,0.051859025
MAP_roll_mean_6h,0.050713748
Magnesium_measured,0.04767097
Magnesium,0.047385305
Resp_diff_1h,0.046633836
Fibrinogen,0.042635933
TroponinI,0.041780636
hours_since_last_Platelets,0.040167138
Alkalinephos_measured,0.034332383
Bilirubin_direct,0.033214293
Hgb_measured,0.02946122
AST_measured,0.027568746
FiO2,0.026285335
SaO2_measured,0.025189657
BaseExcess_measured,0.024788283
AST,0.023379473
Unit1,0.023027344
Bilirubin_total_measured,0.02087128
Chloride_measured,0.020145537
Calcium_measured,0.01961196
WBC_measured,0.017937046
Platelets_measured,0.017868381
Hct_measured,0.01440861
Creatinine_measured,0.014224651
PTT_measured,0.013822664
Potassium_measured,0.013475958
HCO3_measured,0.011705488
BUN_measured,0.009501312
Phosphate_measured,0.0046893256
TroponinI_measured,0.0032928037
Fibrinogen_measured,0.0018063203
Bilirubin_direct_measured,9.6810516e-05
