Feature,Mean_Abs_SHAP
ICULOS,0.049294685211018756
Unit2,0.03663113029092638
HospAdmTime,0.03425775720351574
hours_since_last_Lactate,0.026008181789486894
Temp,0.0208457011298677
HR_MAP_Ratio,0.014639099640716286
hours_since_last_pH,0.0144661715824691
WBC,0.01130411194041514
BUN,0.010852919657202831
Temp_roll_std_6h,0.009881668247350619
Creatinine,0.009801696724074533
Resp_roll_mean_6h,0.00764223727868634
FiO2,0.005700065881139899
Temp_roll_mean_6h,0.004368318018882715
hours_since_last_WBC,0.004240744950449129
Platelets,0.0036641200045386285
Hgb,0.0033205058112908475
PTT,0.002470247970578517
Alkalinephos,0.002265259031531569
hours_since_last_HCO3,0.0022424872153314437
AST,0.0020569953235732253
FiO2_measured,0.0020405146600092376
Unit1,0.0020031175508961542
EtCO2,0.001930319956567872
hours_since_last_Platelets,0.0018413350850223264
O2Sat_roll_std_6h,0.001815740918765288
Age,0.0015207035729337063
Hct,0.0014737793677594441
Bilirubin_total,0.0011021016416223588
Phosphate,0.0010906815411414743
MAP_roll_mean_6h,0.0010393155597756504
MAP_roll_std_6h,0.000925295254234514
O2Sat_roll_mean_6h,0.0009121372510330243
HR_roll_std_6h,0.0009013541145716242
DBP,0.0008962935349718169
HR,0.0007201071840815691
pH,0.0006310171279345793
Potassium,0.0005159458935443991
Shock_Index,0.0005048057012553884
Glucose,0.0004592682526742481
Calcium,0.00045266341762467634
SBP,0.00043860259716857627
TroponinI,0.00037651041163343696
Resp_O2Sat_Ratio,0.00036754654022482024
SaO2,0.0002881419871038076
Gender,0.00028459522612530957
HR_roll_mean_6h,0.00019519593069123567
HR_Temp_Ratio,0.0001523444225649271
Resp_roll_std_6h,0.00014521205301774975
MAP_deviation,0.00014468501992405145
BaseExcess,0.00013909199742971278
Alkalinephos_measured,0.0001299050877497753
HCO3,0.00010926341808755012
Chloride,0.00010847143901481988
SaO2_measured,1.7521370524098135e-05
hours_since_last_BUN,0.0
Platelets_measured,0.0
HR_diff_1h,0.0
First_24h_Flag,0.0
Temp_diff_1h,0.0
Resp_diff_1h,0.0
O2Sat_diff_1h,0.0
Pulse_Pressure,0.0
hours_since_last_Creatinine,0.0
BUN_measured,0.0
Fibrinogen_measured,0.0
WBC_measured,0.0
MAP,0.0
Resp,0.0
PaCO2,0.0
Bilirubin_direct,0.0
Lactate,0.0
Magnesium,0.0
Fibrinogen,0.0
BaseExcess_measured,0.0
HCO3_measured,0.0
pH_measured,0.0
PaCO2_measured,0.0
AST_measured,0.0
O2Sat,0.0
Calcium_measured,0.0
Chloride_measured,0.0
Creatinine_measured,0.0
Bilirubin_direct_measured,0.0
Glucose_measured,0.0
Lactate_measured,0.0
Magnesium_measured,0.0
Phosphate_measured,0.0
Potassium_measured,0.0
Bilirubin_total_measured,0.0
TroponinI_measured,0.0
Hct_measured,0.0
Hgb_measured,0.0
PTT_measured,0.0
Diurnal_Proxy_Hour,0.0
